typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0203","Meat of swine; fresh, chilled or frozen","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","733132609","false","8","kg","733132609","false","733132609","false","0","false","0","1648573996","1648573996","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2252243000","false","21","1000 KG","2252243","false","2252243000","false","0","false","0","569916561","569916561","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","115642","false","8","kg","115642","false","115642","false","0","false","154351","0","154351","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6934504308","false","-1","N/A","0","false","6934504308","false","0","false","0","1206361787","1206361787","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","1007","Grain sorghum","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26656","false","8","kg","26656","false","26656","false","0","false","42011","0","42011","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1007","Grain sorghum","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5575622464","false","-1","N/A","0","false","5575622464","false","0","false","0","1152697017","1152697017","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1386908","false","8","kg","1386908","false","1386908","false","0","false","2285790","0","2285790","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","1201","Soya beans, whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","34708471290","false","-1","N/A","0","false","34708471290","false","0","false","0","14202646345","14202646345","0","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8471","Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","256910340","false","5","u","256910340","false","245092673.453","true","0","false","53799529661","0","53799529661","4","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","8471","Automatic data processing machines and units thereof, magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1849456","false","5","u","1849456","false","4411404.659","true","0","false","0","1099686473","1099686473","4","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8517","Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","156937649.657","true","0","false","53733638032","0","53733638032","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","8517","Telephone sets, including telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data (including wired/wireless networks), excluding items of 8443, 8525, 8527, or 8528","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","2528548.018","true","0","false","0","811893456","811893456","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","2163120328.618","true","0","false","1076662785","0","1076662785","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","8541","Diodes, transistors, similar semiconductor devices; including photovoltaic cells assembled or not in modules or panels, light-emitting diodes (LED), mounted piezo-electric crystals","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","0","872528143","872528143","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","1802352660","0","1802352660","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","8542","Electronic integrated circuits","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","0","10161501336","10161501336","6","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","393003","false","5","u","393003","false","122297519.088","true","0","false","1689004306","0","1689004306","4","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","8703","Motor cars and other motor vehicles; principally designed for the transport of persons (other than those of heading no. 8702), including station wagons and racing cars","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","143146","false","5","u","143146","false","359132876.453","true","0","false","0","6097534002","6097534002","4","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","0203","Meat of swine; fresh, chilled or frozen","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","195952","false","8","kg","195952","false","195952","false","0","false","357458","0","357458","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","X","Export","156","CHN","China","0","W00","World","H5","HS","true","0203","Meat of swine; fresh, chilled or frozen","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","395235499","false","8","kg","395235499","false","395235499","false","0","false","0","890386466","890386466","0","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2177","false","8","kg","2177","false","2177","false","0","false","4682","0","4682","0","false","true",
