typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1354593293,TRUE,-1,N/A,0,FALSE,1354593293,TRUE,0,FALSE,11624547825,0,11624547825,6,FALSE,TRUE
C,A,20180101,2018,52,2018,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,174816345.8,TRUE,-1,N/A,0,FALSE,174816345.8,TRUE,0,FALSE,0,2411994755,2411994755,6,FALSE,TRUE
C,A,20180101,2018,52,2018,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,13588785.12,TRUE,0,FALSE,1742383524,0,1742383524,6,FALSE,TRUE
C,A,20180101,2018,52,2018,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,17602607.21,TRUE,0,FALSE,0,2786679691,2786679691,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6194117017,TRUE,-1,N/A,0,FALSE,6194117017,TRUE,0,FALSE,0,2901414113,2901414113,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2711,Petroleum gases and other gaseous hydrocarbons,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1673247.633,TRUE,-1,N/A,0,FALSE,1673247.633,TRUE,0,FALSE,904535,832571,904535,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2711,Petroleum gases and other gaseous hydrocarbons,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,395328787.6,TRUE,-1,N/A,0,FALSE,395328787.6,TRUE,0,FALSE,0,160924308,160924308,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,13460974,FALSE,-1,N/A,0,FALSE,13460974,FALSE,0,FALSE,31892222,30176957,31892222,0,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,685464,FALSE,-1,N/A,0,FALSE,685464,FALSE,0,FALSE,0,13440389,13440389,0,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,15750356,FALSE,-1,N/A,0,FALSE,15750356,FALSE,0,FALSE,86284935,84268962,86284935,0,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,46011830,FALSE,-1,N/A,0,FALSE,46011830,FALSE,0,FALSE,0,67288680,67288680,0,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25694366.49,TRUE,-1,N/A,0,FALSE,25694366.49,TRUE,0,FALSE,453961219,439623788,453961219,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,519344.015,TRUE,-1,N/A,0,FALSE,519344.015,TRUE,0,FALSE,0,24251158,24251158,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,119445794.4,TRUE,0,FALSE,2369037262,2309591789,2369037262,4,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,13417538.19,TRUE,0,FALSE,0,107519213,107519213,4,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,91839632.34,TRUE,0,FALSE,3473244217,3358661140,3473244217,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,2448157.233,TRUE,0,FALSE,0,108198141,108198141,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,82502526,FALSE,-1,N/A,0,FALSE,292075701.9,TRUE,0,FALSE,11528025541,11263365351,11528025541,4,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,152372,FALSE,-1,N/A,0,FALSE,634871.514,TRUE,0,FALSE,0,52768113,52768113,4,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1099543922,TRUE,-1,N/A,0,FALSE,1099543922,TRUE,0,FALSE,9592845098,9048522223,9592845098,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,117611643.1,TRUE,-1,N/A,0,FALSE,117611643.1,TRUE,0,FALSE,0,1538792191,1538792191,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,14960427.57,TRUE,0,FALSE,1756050739,1700501270,1756050739,6,FALSE,TRUE
C,A,20190101,2019,52,2019,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,23533091.21,TRUE,0,FALSE,0,3229282997,3229282997,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,28022562270,FALSE,19,BBL,176242530,FALSE,28022562270,FALSE,0,FALSE,0,6760934244,6760934244,0,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2711,Petroleum gases and other gaseous hydrocarbons,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,6888414,FALSE,-1,N/A,0,FALSE,6888414,FALSE,0,FALSE,1149410,0,1149410,0,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2711,Petroleum gases and other gaseous hydrocarbons,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7134919909,TRUE,-1,N/A,0,FALSE,7134919909,TRUE,0,FALSE,0,2440929595,2440929595,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11181008,FALSE,8,kg,11181008,FALSE,11181008,FALSE,0,FALSE,27863210,0,27863210,0,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,181923,FALSE,8,kg,181923,FALSE,181923,FALSE,0,FALSE,0,6648391,6648391,0,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4322339.354,TRUE,-1,N/A,0,FALSE,4322339.354,TRUE,0,FALSE,45649703,0,45649703,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,59555508,FALSE,8,kg,59555508,FALSE,59555508,FALSE,0,FALSE,0,98931639,98931639,0,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14646948.37,TRUE,-1,N/A,0,FALSE,14646948.37,TRUE,0,FALSE,368406831,0,368406831,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,982767.825,TRUE,-1,N/A,0,FALSE,982767.825,TRUE,0,FALSE,0,39570400,39570400,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,178033372.1,TRUE,0,FALSE,2591304815,0,2591304815,4,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,14528812.89,TRUE,0,FALSE,0,275799181,275799181,4,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,95195946.67,TRUE,0,FALSE,4168341101,0,4168341101,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,1659669.769,TRUE,0,FALSE,0,74914630,74914630,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,63729198,FALSE,5,u,63729198,FALSE,229659152.6,TRUE,0,FALSE,8332610251,0,8332610251,4,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,130245,FALSE,5,u,130245,FALSE,418932.48,TRUE,0,FALSE,0,27060543,27060543,4,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,885358242.1,TRUE,-1,N/A,0,FALSE,885358242.1,TRUE,0,FALSE,8113237421,0,8113237421,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,140279782,TRUE,-1,N/A,0,FALSE,140279782,TRUE,0,FALSE,0,1935143893,1935143893,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,18346296.45,TRUE,0,FALSE,2319149452,0,2319149452,6,FALSE,TRUE
C,A,20200101,2020,52,2020,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,19674394.05,TRUE,0,FALSE,0,3101405246,3101405246,6,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14741659242,FALSE,19,BBL,92714838,FALSE,14741659242,FALSE,0,FALSE,0,5911305448,5911305448,0,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2711,Petroleum gases and other gaseous hydrocarbons,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8579743,FALSE,-1,N/A,0,FALSE,8579743,FALSE,0,FALSE,2244538,0,2244538,0,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2711,Petroleum gases and other gaseous hydrocarbons,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10694972772,TRUE,-1,N/A,0,FALSE,10694972772,TRUE,0,FALSE,0,6161081050,6161081050,6,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10031737,FALSE,8,kg,10031737,FALSE,10031737,FALSE,0,FALSE,37209604,0,37209604,0,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,71148,FALSE,8,kg,71148,FALSE,71148,FALSE,0,FALSE,0,4396777,4396777,0,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4192847.614,TRUE,-1,N/A,0,FALSE,4192847.614,TRUE,0,FALSE,73953303,0,73953303,6,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,75722900,FALSE,8,kg,75722900,FALSE,75722900,FALSE,0,FALSE,0,279461349,279461349,0,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20571368.19,TRUE,-1,N/A,0,FALSE,20571368.19,TRUE,0,FALSE,559900508,0,559900508,6,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,562558.334,TRUE,-1,N/A,0,FALSE,562558.334,TRUE,0,FALSE,0,30710488,30710488,6,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,297878724.9,TRUE,0,FALSE,5435204580,0,5435204580,4,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,X,Export,156,CHN,China,0,W00,World,H5,HS,TRUE,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,9687912.588,TRUE,0,FALSE,0,85351711,85351711,4,FALSE,TRUE
C,A,20210101,2021,52,2021,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H5,HS,TRUE,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,114317099.8,TRUE,0,FALSE,5745138105,0,5745138105,6,FALSE,TRUE
