level_0,index,Year,Month,Reporter,Trade_Flow,Partner,HS_Code,Commodity,Trade_Value_USD,Category,Sector,Tariff_Rate (%)
181,181,2017,52,USA,Export,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",91206010,Audio Equipment (Speakers & Microphones),Consumer Electronics,0.0
182,182,2017,52,USA,Import,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",11671102912,Monitors & Television Receivers,Electronics,0.0
183,183,2017,52,USA,Export,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",73874840,Monitors & Television Receivers,Electronics,0.0
184,184,2017,52,USA,Import,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",9929553943,Vehicle Parts & Accessories,Automobile,2.5
185,185,2017,52,USA,Export,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2330142028,Vehicle Parts & Accessories,Automobile,2.5
186,186,2017,52,USA,Import,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",1656421769,Medical & Surgical Instruments,Healthcare,0.0
187,187,2017,52,USA,Export,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",2443888683,Medical & Surgical Instruments,Healthcare,0.0
188,188,2018,52,USA,Export,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,5430626753,Crude Petroleum Oil,Energy,0.0
189,189,2018,52,USA,Import,China,2711,Petroleum gases and other gaseous hydrocarbons,1702652,Petroleum Gases (LNG/LPG),Energy,25.0
190,190,2018,52,USA,Export,China,2711,Petroleum gases and other gaseous hydrocarbons,1639483248,Petroleum Gases (LNG/LPG),Energy,25.0
191,191,2018,52,USA,Import,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",45233862,Alkali & Alkaline-Earth Metals,Chemicals,25.0
192,192,2018,52,USA,Export,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",39444022,Alkali & Alkaline-Earth Metals,Chemicals,25.0
193,193,2018,52,USA,Import,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",87294764,Rare-Earth Compounds,Critical Minerals,25.0
194,194,2018,52,USA,Export,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",72796068,Rare-Earth Compounds,Critical Minerals,25.0
195,195,2018,52,USA,Import,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",496023740,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
196,196,2018,52,USA,Export,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",29581816,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
197,197,2018,52,USA,Import,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",2244667239,Electric Batteries,Energy Storage,0.0
198,198,2018,52,USA,Export,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",145350148,Electric Batteries,Energy Storage,0.0
199,199,2018,52,USA,Import,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",3595502087,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
200,200,2018,52,USA,Export,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",102967071,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
201,201,2018,52,USA,Import,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",12706981029,Monitors & Television Receivers,Electronics,25.0
202,202,2018,52,USA,Export,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",75065012,Monitors & Television Receivers,Electronics,25.0
203,203,2018,52,USA,Import,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",11624547825,Vehicle Parts & Accessories,Automobile,25.0
204,204,2018,52,USA,Export,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",2411994755,Vehicle Parts & Accessories,Automobile,25.0
205,205,2018,52,USA,Import,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",1742383524,Medical & Surgical Instruments,Healthcare,25.0
206,206,2018,52,USA,Export,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",2786679691,Medical & Surgical Instruments,Healthcare,25.0
207,207,2019,52,USA,Export,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,2901414113,Crude Petroleum Oil,Energy,0.0
208,208,2019,52,USA,Import,China,2711,Petroleum gases and other gaseous hydrocarbons,904535,Petroleum Gases (LNG/LPG),Energy,25.0
209,209,2019,52,USA,Export,China,2711,Petroleum gases and other gaseous hydrocarbons,160924308,Petroleum Gases (LNG/LPG),Energy,25.0
210,210,2019,52,USA,Import,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",31892222,Alkali & Alkaline-Earth Metals,Chemicals,25.0
211,211,2019,52,USA,Export,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",13440389,Alkali & Alkaline-Earth Metals,Chemicals,25.0
212,212,2019,52,USA,Import,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",86284935,Rare-Earth Compounds,Critical Minerals,25.0
213,213,2019,52,USA,Export,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",67288680,Rare-Earth Compounds,Critical Minerals,25.0
214,214,2019,52,USA,Import,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",453961219,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
215,215,2019,52,USA,Export,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",24251158,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
216,216,2019,52,USA,Import,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",2369037262,Electric Batteries,Energy Storage,0.0
217,217,2019,52,USA,Export,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",107519213,Electric Batteries,Energy Storage,0.0
218,218,2019,52,USA,Import,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",3473244217,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
219,219,2019,52,USA,Export,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",108198141,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
220,220,2019,52,USA,Import,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",11528025541,Monitors & Television Receivers,Electronics,25.0
221,221,2019,52,USA,Export,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",52768113,Monitors & Television Receivers,Electronics,25.0
222,222,2019,52,USA,Import,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",9592845098,Vehicle Parts & Accessories,Automobile,25.0
